1904,4045,-1,37874
1925,4045,93,37874
1894,4045,-1,37874
1890,4045,100,37874
1870,4045,-1,37874
1831,4045,103,37874
1799,4045,-1,37874
1804,4045,102,37874
1811,4045,-1,37874
1811,4045,103,37874
1799,4045,-1,37874
1813,4045,103,37874
1847,4045,-1,37874
1854,4045,103,37874
1856,4045,-1,37874
1853,4045,103,37874
1851,4045,-1,37874
1854,4045,104,37874
1861,4045,-1,37874
1931,4045,104,37874
2118,4045,-1,37874
2150,4045,104,37874
2146,4045,-1,37874
2082,4045,104,37874
1983,4045,-1,37874
1924,4045,104,37874
1846,4045,-1,37874
1822,4045,104,37874
1823,4045,-1,37874
1828,4045,104,37874
1826,4045,-1,37874
1826,4045,103,37874
1830,4045,-1,37874
1822,4045,103,37874
1828,4045,-1,37874
1831,4045,102,37874
1832,4045,-1,37874
1846,4045,102,37874
1850,4045,-1,37874
1847,4045,102,37874
1853,4045,-1,37874
1853,4045,102,37874
1850,4045,-1,37874
1848,4045,102,37874
1849,4045,-1,37874
1844,4045,103,37874
1846,4045,-1,37874
1846,4045,102,37874
1844,4045,-1,37874
1843,4045,103,37874
1848,4045,-1,37874
1852,4045,103,37874
1852,4045,-1,37874
1851,4045,103,37874
1851,4045,-1,37874
1856,4045,103,37874
1857,4045,-1,37874
1859,4045,103,37874
1856,4045,-1,37874
1853,4045,103,37874
1857,4045,-1,37874
1851,4045,104,37874
1860,4045,-1,37874
1861,4045,104,37874
1864,4045,-1,37874
1862,4045,104,37874
1868,4045,-1,37874
1869,4045,104,37874
1867,4045,-1,37874
1866,4045,103,37874
1872,4045,-1,37874
1872,4045,104,37874
1873,4045,-1,37874
1876,4045,104,37874
1875,4045,-1,37874
1871,4045,104,37874
1870,4045,-1,37874
1867,4045,104,37874
1863,4045,-1,37874
1861,4045,104,37874
1862,4045,-1,37874
1859,4045,104,37874
1857,4045,-1,37874
1860,4045,104,37874
1862,4045,-1,37874
1860,4045,103,37874
1851,4045,-1,37874
1856,4045,104,37874
1864,4045,-1,37874
1866,4045,102,37874
1859,4045,-1,37874
1862,4045,102,37874
1863,4045,-1,37874
1855,4045,102,37874
1861,4045,-1,37874
1844,4045,104,37874
1859,4045,-1,37874
1870,4045,103,37874
1864,4045,-1,37874
1856,4045,103,37874
1854,4045,-1,37874
1852,4045,103,37874
1845,4045,-1,37874
1855,4045,102,37874
1855,4045,-1,37874
1850,4045,102,37874
1848,4045,-1,37874
1843,4045,102,37874
1839,4045,-1,37874
1832,4045,101,37874
1835,4045,-1,37874
1830,4045,103,37874
1833,4045,-1,37874
1829,4045,107,37874
1831,4045,-1,37874
1831,4045,109,37874
1831,4045,-1,37874
1830,4045,111,37874
1833,4045,-1,37874
1834,4045,111,37874
1835,4045,-1,37874
1835,4045,110,37874
1833,4045,-1,37874
1832,4045,108,37874
1831,4045,-1,37874
1831,4045,108,37874
1830,4045,-1,37874
1830,4045,107,37874
1829,4045,-1,37874
1831,4045,107,37874
1832,4045,-1,37874
1830,4045,106,37874
1835,4045,-1,37874
1832,4045,105,37874
1831,4045,-1,37874
1830,4045,106,37874
1831,4045,-1,37874
1830,4045,106,37874
1831,4045,-1,37874
1830,4045,105,37874
1831,4045,-1,37874
1831,4045,106,37874
1832,4045,-1,37874
1829,4045,105,37874
1829,4045,-1,37874
1830,4045,105,37874
1831,4045,-1,37874
1831,4045,106,37874
1831,4045,-1,37874
1831,4045,106,37874
1830,4045,-1,37874
1831,4045,106,37874
1830,4045,-1,37874
1831,4045,106,37874
1832,4045,-1,37874
1831,4045,106,37874
1831,4045,-1,37874
1832,4045,106,37874
1832,4045,-1,37874
1836,4045,107,37874
1852,4045,-1,37874
1837,4045,107,37874
1831,4045,-1,37874
1830,4045,107,37874
1840,4045,-1,37874
1864,4045,107,37874
1864,4045,-1,37874
1837,4045,106,37874
1846,4045,-1,37874
1856,4045,105,37874
1868,4045,-1,37874
1891,4045,97,37874
1898,4045,-1,37874
1902,4045,86,37874
1902,4045,-1,37874
1882,4045,85,37874
1885,4045,-1,37874
1909,4045,88,37874
1903,4045,-1,37874
1845,4045,88,37874
1771,4045,-1,37874
1763,4045,89,37874
1789,4045,-1,37874
1801,4045,88,37874
1788,4045,-1,37874
1783,4045,88,37874
1781,4045,-1,37874
1772,4045,87,37874
1774,4045,-1,37874
1786,4045,86,37874
1794,4045,-1,37874
1785,4045,87,37874
1809,4045,-1,37874
1854,4045,90,37874
1881,4045,-1,37874
1867,4045,87,37874
1857,4045,-1,37874
1841,4045,86,37874
1816,4045,-1,37874
1812,4045,86,37874
1804,4045,-1,37874
1795,4045,87,37874
1784,4045,-1,37874
1771,4045,87,37874
1824,4045,-1,37874
1823,4045,87,37874
1818,4045,-1,37874
1818,4045,87,37874
1811,4045,-1,37874
1794,4045,87,37874
1622,4045,-1,37874
839,4045,88,37874
646,4045,-1,37874
654,4045,89,37874
777,4045,-1,37874
708,4045,90,37874
698,4045,-1,37874
773,4045,88,37874
909,4045,-1,37874
1054,4045,87,37874
1279,4045,-1,37874
1433,4045,85,37874
1549,4045,-1,37874
1534,4045,86,37874
