distance_cm,ldr_on,ldr_on_sd,ldr_off,ldr_off_sd,apds_on,apds_off,us_mm
40.0,3407.75,2.951906163820222,303.3,1.072380529476359,21.0,1.0,395.38125
60.0,3065.36875,2.669906072786086,287.1466666666667,2.275629339081583,17.0,1.0,587.43125
85.0,2702.40625,2.451904553097492,281.62000000000006,3.275199739456099,13.0,1.0,827.8937500000001
120.0,2247.81875,2.099767472245439,284.17333333333335,1.3248731595473213,9.0,1.0,1185.68125
160.0,1842.41875,1.242084311751846,262.13125,0.866543961666114,7.0,1.0,1598.9125000000001
200.0,1553.96875,1.4537532244160123,278.61875000000003,1.4165180681869214,5.25,1.0,2133.91875
