342,6,-1,3786
346,6,10,3786
344,6,-1,3786
341,6,10,3786
344,6,-1,3786
344,6,9,3786
342,6,-1,3786
344,6,9,3786
345,6,-1,3786
343,6,9,3786
343,6,-1,3786
346,6,10,3786
343,6,-1,3786
342,6,10,3786
345,6,-1,3786
344,6,9,3786
342,6,-1,3786
344,6,8,3786
346,6,-1,3786
342,6,8,3786
343,6,-1,3786
344,6,8,3786
342,6,-1,3786
343,6,8,3786
345,6,-1,3786
343,6,7,3786
342,6,-1,3786
344,6,8,3786
344,6,-1,3786
342,6,8,3786
344,6,-1,3786
344,6,8,3786
342,6,-1,3786
343,6,8,3786
344,6,-1,3786
343,6,8,3786
342,6,-1,3786
344,6,7,3786
344,6,-1,3786
342,6,8,3786
343,6,-1,3786
344,6,8,3786
342,6,-1,3786
343,6,8,3786
344,6,-1,3786
342,6,7,3786
342,6,-1,3786
344,6,8,3786
344,6,-1,3786
342,6,8,3786
344,6,-1,3786
344,6,8,3786
342,6,-1,3786
343,6,7,3786
344,6,-1,3786
342,6,7,3786
342,6,-1,3786
345,6,7,3786
343,6,-1,3786
342,6,8,3786
344,6,-1,3786
344,6,8,3786
342,6,-1,3786
343,6,7,3786
344,6,-1,3786
343,6,7,3786
343,6,-1,3786
345,6,7,3786
343,6,-1,3786
342,6,8,3786
344,6,-1,3786
343,6,8,3786
342,6,-1,3786
345,6,8,3786
344,6,-1,3786
342,6,8,3786
342,6,-1,3786
346,6,8,3786
344,6,-1,3786
342,6,8,3786
346,6,-1,3786
344,6,7,3786
342,6,-1,3786
345,6,8,3786
346,6,-1,3786
342,6,9,3786
344,6,-1,3786
347,7,9,3786
342,7,-1,3786
343,7,9,3786
346,7,-1,3786
342,7,9,3786
343,7,-1,3786
347,7,9,3786
343,7,-1,3786
342,7,9,3786
347,7,-1,3786
343,7,9,3786
342,7,-1,3786
347,7,9,3786
345,7,-1,3786
342,7,9,3786
343,7,-1,3786
346,7,7,3786
341,7,-1,3786
344,7,6,3786
344,7,-1,3786
342,7,5,3786
343,7,-1,3786
346,7,4,3787
342,7,-1,3787
343,7,5,3787
347,7,-1,3787
342,7,5,3787
343,7,-1,3787
346,7,4,3787
342,7,-1,3787
344,7,4,3787
347,7,-1,3787
342,7,4,3787
344,7,-1,3787
347,7,4,3787
342,7,-1,3787
344,7,4,3787
347,7,-1,3787
342,7,4,3787
343,7,-1,3787
347,7,4,3787
