t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session,pred,infer_us,trial,staged
90,997,0,2489,-16,0,0,1,0,20,0,0
215,999,2,2489,-16,0,0,1,0,21,0,0
340,997,0,2489,-16,0,0,1,0,21,0,0
464,997,0,2488,-17,0,0,1,0,21,0,0
589,998,1,2489,-16,0,0,1,0,20,0,0
713,997,0,2488,-17,0,0,1,0,21,0,0
837,998,1,2488,-17,0,0,1,0,20,0,0
962,997,0,2489,-16,0,0,1,0,21,0,0
1087,998,1,2489,-16,0,0,1,0,21,0,0
1212,998,1,2489,-16,0,0,1,0,20,0,0
1336,998,1,2489,-16,0,0,1,0,20,0,0
1461,998,1,2489,-16,0,0,1,0,20,0,0
1585,998,1,2489,-16,0,0,1,0,20,0,0
1710,998,1,2489,-16,0,0,1,0,20,0,0
1835,998,1,2488,-17,0,0,1,0,20,0,0
1960,998,1,2489,-16,0,0,1,0,20,0,0
2085,998,1,2489,-16,0,0,1,0,20,0,0
2210,998,1,2489,-16,0,0,1,0,20,0,0
2335,998,1,2489,-16,0,0,1,0,20,0,0
2460,999,2,2489,-16,0,0,1,0,21,0,0
2585,999,2,2489,-16,0,0,1,0,21,0,0
2710,998,1,2489,-16,0,0,1,0,20,0,0
2834,998,1,2489,-16,0,0,1,0,20,0,0
2958,998,1,2489,-16,0,0,1,0,21,0,0
3083,998,2,2488,-17,0,0,1,0,20,0,0
3208,998,1,2489,-16,0,0,1,0,21,0,0
3332,998,1,2489,-16,0,0,1,0,20,0,0
3457,998,1,2489,-16,0,0,1,0,20,0,0
3582,998,1,2488,-17,0,0,1,0,21,0,0
3707,998,1,2489,-16,0,0,1,0,21,0,0
3831,998,1,2489,-16,0,0,1,0,21,0,0
3956,998,1,2488,-17,0,0,1,0,20,0,0
4080,998,1,2489,-16,0,0,1,0,20,0,0
4204,998,1,2489,-16,0,0,1,0,20,0,0
4328,998,1,2489,-16,0,0,1,0,21,0,0
4452,998,1,2489,-16,0,0,1,0,21,0,0
4577,999,2,2488,-17,0,0,1,0,21,0,0
4702,997,1,2489,-16,0,0,1,0,20,0,0
4827,997,0,2489,-16,0,0,1,0,21,0,0
4952,998,1,2490,-15,0,0,1,0,21,0,0
5077,998,1,2489,-16,0,0,1,0,20,0,0
80,702,-295,2485,-20,0,1,1,1,20,0,1
195,702,-295,2485,-20,0,1,1,1,20,0,1
310,702,-295,2484,-21,0,1,1,1,19,0,1
425,702,-295,2484,-21,0,1,1,1,20,0,1
540,706,-291,2485,-20,0,1,1,1,20,0,1
655,702,-295,2484,-21,0,1,1,1,20,0,1
770,702,-294,2484,-21,0,1,1,1,20,0,1
885,702,-295,2484,-21,0,1,1,1,20,0,1
1000,703,-294,2484,-21,0,1,1,1,20,0,1
1115,703,-293,2485,-20,0,1,1,1,20,0,1
1230,702,-295,2484,-21,0,1,1,1,20,0,1
1345,702,-295,2484,-21,0,1,1,1,20,0,1
1460,703,-293,2485,-20,0,1,1,1,19,0,1
1575,702,-295,2484,-21,0,1,1,1,20,0,1
1690,702,-294,2484,-21,0,1,1,1,20,0,1
1804,702,-294,2484,-21,0,1,1,1,19,0,1
1920,702,-295,2484,-21,0,1,1,1,20,0,1
2035,702,-295,2484,-21,0,1,1,1,19,0,1
2150,702,-295,2484,-21,0,1,1,1,20,0,1
2265,702,-295,2484,-21,0,1,1,1,20,0,1
