t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session,pred,infer_us,trial,staged
90,1000,3,2755,250,0,4,1,4,20,0,4
215,1000,3,2755,250,0,4,1,4,21,0,4
340,1000,4,2755,250,0,4,1,4,20,0,4
464,1000,3,2755,250,0,4,1,4,21,0,4
589,1000,3,2755,250,0,4,1,4,21,0,4
714,1000,4,2754,249,0,4,1,4,20,0,4
839,1000,3,2755,250,0,4,1,4,20,0,4
963,1000,3,2755,250,0,4,1,4,20,0,4
1088,1000,3,2754,249,0,4,1,4,20,0,4
1212,1000,3,2755,250,0,4,1,4,20,0,4
1337,1000,3,2754,249,0,4,1,4,20,0,4
1461,1000,3,2754,249,0,4,1,4,20,0,4
1586,1000,3,2754,249,0,4,1,4,20,0,4
1711,1000,3,2754,249,0,4,1,4,21,0,4
1836,1001,4,2755,250,0,4,1,4,20,0,4
1961,1000,3,2755,250,0,4,1,4,21,0,4
2085,1000,3,2755,250,0,4,1,4,20,0,4
2209,1000,4,2755,250,0,4,1,4,20,0,4
2334,1000,3,2755,250,0,4,1,4,21,0,4
2458,1000,3,2755,250,0,4,1,4,20,0,4
2582,1000,3,2754,249,0,4,1,4,20,0,4
2706,1000,3,2755,250,0,4,1,4,20,0,4
2830,999,3,2754,249,0,4,1,4,20,0,4
2955,1000,3,2755,250,0,4,1,4,20,0,4
3079,1001,4,2755,250,0,4,1,4,21,0,4
3203,1000,3,2755,250,0,4,1,4,20,0,4
3327,1000,3,2754,249,0,4,1,4,21,0,4
3451,1000,3,2754,249,0,4,1,4,21,0,4
3575,1000,3,2754,249,0,4,1,4,21,0,4
3699,1000,3,2754,249,0,4,1,4,21,0,4
3823,1000,3,2754,249,0,4,1,4,20,0,4
3947,1000,3,2754,249,0,4,1,4,20,0,4
4071,1000,4,2754,249,0,4,1,4,20,0,4
4195,1000,3,2755,250,0,4,1,4,21,0,4
4320,1001,5,2754,249,0,4,1,4,21,0,4
4444,1001,4,2754,249,0,4,1,4,20,0,4
4569,1001,4,2755,250,0,4,1,4,21,0,4
4694,1000,3,2754,249,0,4,1,4,20,0,4
4818,998,2,2754,249,0,4,1,4,20,0,4
4943,998,2,2754,249,0,4,1,4,21,0,4
5068,1000,3,2755,250,0,4,1,4,20,0,4
91,1000,3,2753,248,0,4,1,4,21,1,4
215,1000,3,2753,248,0,4,1,4,20,1,4
339,1000,3,2753,248,0,4,1,4,21,1,4
463,1000,3,2754,249,0,4,1,4,21,1,4
588,1000,3,2754,249,0,4,1,4,20,1,4
712,1000,3,2753,248,0,4,1,4,20,1,4
837,1001,4,2753,248,0,4,1,4,20,1,4
962,1001,4,2753,248,0,4,1,4,21,1,4
1086,1000,3,2753,248,0,4,1,4,20,1,4
1210,1000,3,2753,248,0,4,1,4,20,1,4
1334,1000,3,2753,248,0,4,1,4,20,1,4
1458,1000,3,2753,248,0,4,1,4,21,1,4
1583,1000,3,2753,248,0,4,1,4,20,1,4
1707,1000,3,2753,248,0,4,1,4,20,1,4
1831,1000,3,2753,248,0,4,1,4,21,1,4
1955,1000,3,2753,248,0,4,1,4,21,1,4
2080,1000,3,2753,248,0,4,1,4,21,1,4
2204,1000,3,2753,248,0,4,1,4,20,1,4
2329,1000,3,2753,248,0,4,1,4,21,1,4
2454,1000,3,2753,248,0,4,1,4,20,1,4
2579,1000,3,2753,248,0,4,1,4,21,1,4
2703,1000,3,2753,248,0,4,1,4,21,1,4
2828,1000,3,2753,248,0,4,1,4,20,1,4
2953,1000,4,2753,248,0,4,1,4,20,1,4
3078,1001,4,2753,248,0,4,1,4,21,1,4
3202,1001,4,2753,248,0,4,1,4,21,1,4
3326,1001,4,2753,248,0,4,1,4,21,1,4
3451,1000,4,2754,249,0,4,1,4,20,1,4
3575,1000,4,2753,248,0,4,1,4,20,1,4
3699,1001,4,2752,247,0,4,1,4,20,1,4
3823,1001,4,2753,248,0,4,1,4,20,1,4
3948,1000,3,2753,248,0,4,1,4,21,1,4
4073,1001,4,2754,249,0,4,1,4,20,1,4
4198,1001,5,2753,248,0,4,1,4,21,1,4
4323,1000,4,2753,248,0,4,1,4,21,1,4
4448,1000,3,2753,248,0,4,1,4,21,1,4
4573,1000,3,2753,248,0,4,1,4,21,1,4
4698,1001,4,2753,248,0,4,1,4,21,1,4
4822,1001,4,2753,248,0,4,1,4,20,1,4
4947,1001,4,2753,248,0,4,1,4,20,1,4
5072,1001,4,2754,249,0,4,1,4,20,1,4
90,1000,3,2751,246,0,4,1,4,20,2,4
214,1000,3,2751,246,0,4,1,4,20,2,4
339,1000,3,2752,247,0,4,1,4,20,2,4
464,1000,3,2752,247,0,4,1,4,20,2,4
589,1000,3,2751,246,0,4,1,4,20,2,4
714,1000,3,2752,247,0,4,1,4,20,2,4
838,1001,4,2751,246,0,4,1,4,21,2,4
962,1001,4,2751,246,0,4,1,4,20,2,4
1086,1000,4,2752,247,0,4,1,4,20,2,4
1211,1001,4,2751,246,0,4,1,4,21,2,4
1336,1001,4,2752,247,0,4,1,4,20,2,4
1460,1001,4,2752,247,0,4,1,4,21,2,4
1585,1000,4,2752,247,0,4,1,4,21,2,4
1709,1000,3,2752,247,0,4,1,4,21,2,4
1834,1000,3,2752,247,0,4,1,4,20,2,4
1958,1001,4,2752,247,0,4,1,4,20,2,4
2083,1000,3,2751,246,0,4,1,4,20,2,4
2207,1000,3,2752,247,0,4,1,4,20,2,4
2332,1001,4,2751,246,0,4,1,4,21,2,4
2457,1001,4,2751,246,0,4,1,4,20,2,4
2582,1000,3,2751,246,0,4,1,4,20,2,4
2706,1000,3,2751,246,0,4,1,4,21,2,4
2831,1000,3,2751,246,0,4,1,4,21,2,4
2956,1000,4,2751,246,0,4,1,4,20,2,4
3081,1001,4,2752,247,0,4,1,4,21,2,4
3206,1000,3,2752,247,0,4,1,4,20,2,4
3330,1000,3,2752,247,0,4,1,4,20,2,4
3454,1001,5,2752,247,0,4,1,4,20,2,4
3578,1001,4,2751,246,0,4,1,4,20,2,4
3702,1000,3,2752,247,0,4,1,4,21,2,4
3826,1000,3,2752,247,0,4,1,4,20,2,4
3950,1000,3,2752,247,0,4,1,4,20,2,4
4074,1000,3,2751,246,0,4,1,4,20,2,4
4199,1000,3,2751,246,0,4,1,4,20,2,4
4324,1000,3,2752,247,0,4,1,4,21,2,4
4448,1000,3,2751,246,0,4,1,4,21,2,4
4573,1000,3,2751,246,0,4,1,4,20,2,4
4697,1000,3,2751,246,0,4,1,4,20,2,4
4821,1000,4,2751,246,0,4,1,4,21,2,4
4946,1001,4,2751,246,0,4,1,4,20,2,4
5071,1000,3,2752,247,0,4,1,4,20,2,4
91,1000,3,2751,246,0,4,1,4,20,3,4
215,1000,3,2750,245,0,4,1,4,20,3,4
339,1000,3,2751,246,0,4,1,4,20,3,4
463,1000,3,2751,246,0,4,1,4,20,3,4
587,1000,3,2751,246,0,4,1,4,20,3,4
712,1001,4,2751,246,0,4,1,4,21,3,4
837,1000,4,2751,246,0,4,1,4,20,3,4
962,1000,4,2751,246,0,4,1,4,20,3,4
1086,1000,3,2751,246,0,4,1,4,20,3,4
1211,999,2,2750,245,0,4,1,4,20,3,4
1335,999,3,2750,245,0,4,1,4,20,3,4
1460,1000,3,2751,246,0,4,1,4,20,3,4
1584,1000,4,2750,245,0,4,1,4,20,3,4
1708,1000,3,2751,246,0,4,1,4,21,3,4
1832,1000,3,2750,245,0,4,1,4,20,3,4
1956,1000,3,2751,246,0,4,1,4,20,3,4
2080,1000,3,2751,246,0,4,1,4,20,3,4
2205,1000,4,2751,246,0,4,1,4,21,3,4
2329,1000,3,2751,246,0,4,1,4,20,3,4
2454,1000,4,2750,245,0,4,1,4,20,3,4
2579,1000,4,2750,245,0,4,1,4,20,3,4
2704,1000,3,2750,245,0,4,1,4,20,3,4
2829,1000,4,2750,245,0,4,1,4,20,3,4
2953,1000,3,2750,245,0,4,1,4,20,3,4
3077,1000,3,2750,245,0,4,1,4,20,3,4
3201,1000,3,2750,245,0,4,1,4,21,3,4
3325,1000,4,2750,245,0,4,1,4,21,3,4
3449,1000,3,2750,245,0,4,1,4,20,3,4
3573,999,3,2749,244,0,4,1,4,21,3,4
3698,1001,4,2751,246,0,4,1,4,20,3,4
3823,1000,3,2750,245,0,4,1,4,20,3,4
3948,1000,3,2750,245,0,4,1,4,20,3,4
4072,1000,3,2750,245,0,4,1,4,21,3,4
4196,1000,4,2751,246,0,4,1,4,20,3,4
4320,1000,4,2749,244,0,4,1,4,20,3,4
4445,1000,3,2750,245,0,4,1,4,20,3,4
4570,1000,3,2750,245,0,4,1,4,21,3,4
4694,1000,3,2751,246,0,4,1,4,20,3,4
4819,1000,3,2750,245,0,4,1,4,20,3,4
4943,1000,4,2750,245,0,4,1,4,20,3,4
5068,1000,4,2751,246,0,4,1,4,21,3,4
90,1000,3,2750,245,0,4,1,4,21,4,4
214,1000,3,2750,245,0,4,1,4,20,4,4
338,1000,3,2750,245,0,4,1,4,20,4,4
463,1000,3,2750,245,0,4,1,4,20,4,4
587,1000,3,2750,245,0,4,1,4,21,4,4
712,1000,3,2749,244,0,4,1,4,21,4,4
837,1000,4,2750,245,0,4,1,4,21,4,4
962,1000,3,2750,245,0,4,1,4,20,4,4
1087,1000,3,2750,245,0,4,1,4,20,4,4
1212,1000,3,2750,245,0,4,1,4,20,4,4
1337,1001,4,2750,245,0,4,1,4,21,4,4
1462,1000,3,2750,245,0,4,1,4,20,4,4
1587,1000,3,2750,245,0,4,1,4,20,4,4
1712,1000,3,2750,245,0,4,1,4,20,4,4
1837,1000,3,2750,245,0,4,1,4,21,4,4
1962,1000,3,2750,245,0,4,1,4,20,4,4
2087,1000,3,2750,245,0,4,1,4,20,4,4
2212,1000,3,2751,246,0,4,1,4,20,4,4
2337,1000,3,2750,245,0,4,1,4,21,4,4
2461,1000,3,2750,245,0,4,1,4,21,4,4
2586,1000,4,2750,245,0,4,1,4,20,4,4
2711,1000,3,2750,245,0,4,1,4,20,4,4
