# session=1 label=2 name=too_far ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
121,2161,853,2563,69,0,2,1
275,2162,854,2566,72,0,2,1
430,2161,853,2566,72,0,2,1
585,2159,851,2566,72,0,2,1
740,2160,852,2567,73,0,2,1
894,2159,851,2568,74,0,2,1
1049,2160,852,2572,78,0,2,1
1204,2160,852,2572,78,0,2,1
1359,2160,852,2571,77,0,2,1
1513,2161,853,2573,79,0,2,1
1668,2161,853,2574,80,0,2,1
1824,2161,853,2574,80,0,2,1
1979,2161,853,2573,79,0,2,1
2133,2161,853,2573,79,0,2,1
2288,2161,853,2575,81,0,2,1
2443,2159,851,2573,79,0,2,1
2598,2159,851,2573,79,0,2,1
2754,2161,853,2573,79,0,2,1
2908,2161,853,2573,79,0,2,1
3062,2162,854,2573,79,0,2,1
3217,2164,856,2573,79,0,2,1
3371,2162,854,2573,79,0,2,1
3525,2164,856,2573,79,0,2,1
3680,2162,854,2573,79,0,2,1
3834,2162,854,2573,79,0,2,1
3988,2161,853,2572,78,0,2,1
4142,2161,853,2573,79,0,2,1
4296,2161,853,2573,79,0,2,1
4450,2162,854,2573,79,0,2,1
4604,2162,854,2573,79,0,2,1
4758,2162,854,2572,78,0,2,1
4912,2163,855,2573,79,0,2,1
5066,2164,856,2573,79,0,2,1
