# session=3 label=3 name=underlit ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,899,2,114,-2466,0,3,3
206,899,2,114,-2466,0,3,3
326,899,2,114,-2466,0,3,3
446,899,2,114,-2466,0,3,3
566,899,2,114,-2466,0,3,3
686,899,2,114,-2466,0,3,3
806,900,3,113,-2467,0,3,3
925,899,2,113,-2467,0,3,3
1045,899,2,113,-2467,0,3,3
1165,900,3,113,-2467,0,3,3
1285,901,4,113,-2467,0,3,3
1405,899,2,113,-2467,0,3,3
1525,901,4,113,-2467,0,3,3
1645,901,4,113,-2467,0,3,3
1765,900,3,113,-2467,0,3,3
1885,901,4,113,-2467,0,3,3
2005,900,3,113,-2467,0,3,3
2125,900,3,113,-2467,0,3,3
2245,901,4,113,-2467,0,3,3
2365,900,3,113,-2467,0,3,3
2485,900,3,113,-2467,0,3,3
2605,900,3,113,-2467,0,3,3
2724,900,3,113,-2467,0,3,3
2844,900,3,113,-2467,0,3,3
2964,900,3,113,-2467,0,3,3
3084,900,3,113,-2467,0,3,3
3204,900,3,113,-2467,0,3,3
3323,900,3,113,-2467,0,3,3
3442,900,3,113,-2467,0,3,3
3561,900,3,112,-2468,0,3,3
3680,900,3,113,-2467,0,3,3
3799,900,3,113,-2467,0,3,3
3918,900,3,113,-2467,0,3,3
4037,900,3,113,-2467,0,3,3
4157,900,3,113,-2467,0,3,3
4277,900,3,112,-2468,0,3,3
4396,900,3,113,-2467,0,3,3
4516,900,3,113,-2467,0,3,3
4636,900,3,112,-2468,0,3,3
4756,900,3,112,-2468,0,3,3
4876,900,3,113,-2467,0,3,3
4996,900,3,113,-2467,0,3,3
