# session=2 label=0 name=optimal ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,878,2,3013,63,0,0,2
206,878,2,3013,63,0,0,2
326,878,2,3013,63,0,0,2
445,878,2,3013,63,0,0,2
566,878,2,3013,63,0,0,2
686,878,2,3013,63,0,0,2
805,878,2,3013,63,0,0,2
924,878,2,3013,63,0,0,2
1044,878,2,3013,63,0,0,2
1164,878,2,3013,63,0,0,2
1284,878,2,3013,63,0,0,2
1404,878,2,3013,63,0,0,2
1524,878,2,3013,63,0,0,2
1644,878,2,3013,63,0,0,2
1763,878,2,3013,63,0,0,2
1883,878,2,3012,62,0,0,2
2003,878,2,3013,63,0,0,2
2123,878,2,3013,63,0,0,2
2243,878,2,3013,63,0,0,2
2362,878,2,3013,63,0,0,2
2482,878,2,3013,63,0,0,2
2601,878,2,3013,63,0,0,2
2720,878,2,3012,62,0,0,2
2840,878,2,3013,63,0,0,2
2960,878,2,3013,63,0,0,2
3079,878,2,3013,63,0,0,2
3198,878,2,3014,64,0,0,2
3317,878,2,3013,63,0,0,2
3436,878,2,3013,63,0,0,2
3555,879,3,3013,63,0,0,2
3674,878,2,3013,63,0,0,2
3793,879,3,3013,63,0,0,2
3912,878,2,3013,63,0,0,2
4031,878,2,3013,63,0,0,2
4150,878,2,3013,63,0,0,2
4269,879,3,3014,64,0,0,2
4389,878,2,3013,63,0,0,2
4509,879,3,3014,64,0,0,2
4629,879,3,3014,64,0,0,2
4748,878,2,3014,64,0,0,2
4868,878,2,3014,64,0,0,2
4987,879,3,3014,64,0,0,2
