# session=1 label=3 name=underlit ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1323,15,2236,-258,0,3,1
227,1323,15,2236,-258,0,3,1
357,1325,17,2236,-258,0,3,1
487,1323,15,2236,-258,0,3,1
618,1323,15,2236,-258,0,3,1
748,1323,15,2236,-258,0,3,1
878,1325,17,2236,-258,0,3,1
1008,1325,17,2236,-258,0,3,1
1138,1323,15,2236,-258,0,3,1
1268,1323,15,2236,-258,0,3,1
1400,1329,21,2236,-258,0,3,1
1531,1323,15,2236,-258,0,3,1
1663,1334,26,2237,-257,0,3,1
1796,1350,42,2236,-258,0,3,1
1929,1356,48,2235,-259,0,3,1
2062,1356,48,2235,-259,0,3,1
2194,1356,48,2236,-258,0,3,1
2329,1356,48,2237,-257,0,3,1
2461,1327,19,2237,-257,0,3,1
2594,1356,48,2238,-256,0,3,1
2727,1336,28,2238,-256,0,3,1
2857,1329,21,2238,-256,0,3,1
2988,1327,19,2238,-256,0,3,1
3118,1329,21,2238,-256,0,3,1
3248,1323,15,2239,-255,0,3,1
3377,1323,15,2238,-256,0,3,1
3507,1323,15,2238,-256,0,3,1
3637,1323,15,2237,-257,0,3,1
3766,1323,15,2238,-256,0,3,1
3896,1323,15,2238,-256,0,3,1
4026,1323,15,2238,-256,0,3,1
4155,1325,17,2239,-255,0,3,1
4285,1323,15,2238,-256,0,3,1
4415,1323,15,2238,-256,0,3,1
4545,1325,17,2239,-255,0,3,1
4675,1325,17,2238,-256,0,3,1
4805,1328,20,2238,-256,0,3,1
4936,1329,21,2237,-257,0,3,1
5069,1338,30,2238,-256,0,3,1
