t_ms,dist_mm,ldr_raw,ax,ay,az,gx,gy,gz,pitch,roll,amag,label,session
159,2194.5,365,-1.0193,-0.0090,-0.0059,3.36,3.23,0.61,89.39,-122.97,1.0193,3,99
299,2161.1,355,-1.0168,-0.0070,-0.0042,3.48,3.36,0.67,89.54,-120.82,1.0169,3,99
465,2165.0,218,-1.0199,-0.0067,-0.0073,3.48,3.30,0.79,89.44,-137.49,1.0199,3,99
605,2161.1,240,-1.0204,-0.0077,-0.0072,3.30,3.30,0.73,89.41,-133.12,1.0204,3,99
771,2166.7,299,-1.0200,-0.0089,-0.0059,3.91,2.81,0.49,89.40,-123.33,1.0201,3,99
967,2277.7,217,-1.0211,-0.0081,-0.0063,3.36,3.30,0.79,89.42,-128.23,1.0212,3,99
1107,2166.4,226,-1.0190,-0.0084,-0.0052,4.15,2.75,0.55,89.44,-121.93,1.0191,3,99
1273,2307.0,348,-1.0194,-0.0087,-0.0062,3.97,2.69,0.55,89.40,-125.69,1.0195,3,99
1413,2166.4,323,-1.0194,-0.0071,-0.0039,2.50,3.42,1.46,89.55,-118.89,1.0194,3,99
1579,2160.9,377,-1.0205,-0.0077,-0.0061,3.42,3.11,0.18,89.45,-128.44,1.0206,3,99
1775,2168.1,361,-1.0206,-0.0079,-0.0055,3.97,3.36,0.31,89.46,-124.70,1.0207,3,99
1915,2164.3,352,-1.0186,-0.0076,-0.0052,2.93,3.05,1.22,89.48,-124.74,1.0186,3,99
2080,2199.3,348,-1.0199,-0.0082,-0.0068,4.39,2.44,0.43,89.40,-129.89,1.0200,3,99
2220,2166.0,345,-1.0181,-0.0079,-0.0061,3.42,3.30,0.67,89.44,-127.57,1.0181,3,99
2386,2279.1,206,-1.0198,-0.0074,-0.0056,3.66,3.30,0.61,89.48,-127.02,1.0198,3,99
2583,2251.5,289,-1.0197,-0.0084,-0.0063,3.78,3.42,0.31,89.41,-127.00,1.0197,3,99
2723,2162.1,281,-1.0204,-0.0077,-0.0060,2.38,3.54,1.34,89.45,-127.87,1.0204,3,99
2889,2306.3,230,-1.0211,-0.0084,-0.0061,2.81,3.42,1.22,89.42,-125.93,1.0212,3,99
3029,2162.1,235,-1.0189,-0.0079,-0.0062,3.54,3.66,0.67,89.43,-128.12,1.0190,3,99
