# session=3 label=4 name=overlit ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,899,2,3807,1227,0,4,3
206,899,2,3804,1224,0,4,3
325,901,4,3790,1210,0,4,3
445,901,4,3788,1208,0,4,3
565,900,3,3792,1212,0,4,3
685,900,3,3795,1215,0,4,3
804,901,4,3802,1222,0,4,3
924,899,2,3807,1227,0,4,3
1044,899,2,3798,1218,0,4,3
1164,899,2,3800,1220,0,4,3
1283,899,2,3805,1225,0,4,3
1403,899,2,3811,1231,0,4,3
1523,899,2,3815,1235,0,4,3
1643,901,4,3808,1228,0,4,3
1763,901,4,3795,1215,0,4,3
1883,901,4,3792,1212,0,4,3
2002,899,2,3791,1211,0,4,3
2121,901,4,3793,1213,0,4,3
2240,901,4,3798,1218,0,4,3
2359,901,4,3799,1219,0,4,3
2478,899,2,3785,1205,0,4,3
2597,901,4,3774,1194,0,4,3
2716,901,4,3775,1195,0,4,3
2835,899,2,3778,1198,0,4,3
2955,899,2,3781,1201,0,4,3
3074,899,2,3771,1191,0,4,3
3194,899,2,3766,1186,0,4,3
3313,901,4,3769,1189,0,4,3
3433,901,4,3774,1194,0,4,3
3553,901,4,3778,1198,0,4,3
3673,901,4,3776,1196,0,4,3
3793,901,4,3768,1188,0,4,3
3912,901,4,3758,1178,0,4,3
4032,901,4,3752,1172,0,4,3
4152,901,4,3758,1178,0,4,3
4271,900,3,3766,1186,0,4,3
4390,901,4,3774,1194,0,4,3
4510,901,4,3766,1186,0,4,3
4630,900,3,3767,1187,0,4,3
4750,901,4,3779,1199,0,4,3
4869,901,4,3783,1203,0,4,3
4989,900,3,3776,1196,0,4,3
