# session=3 label=0 name=optimal ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,898,1,2584,4,0,0,3
205,898,1,2585,5,0,0,3
325,898,1,2585,5,0,0,3
445,898,1,2585,5,0,0,3
565,898,1,2584,4,0,0,3
684,898,1,2585,5,0,0,3
804,898,1,2584,4,0,0,3
924,898,1,2584,4,0,0,3
1044,898,1,2584,4,0,0,3
1164,898,1,2586,6,0,0,3
1283,898,1,2584,4,0,0,3
1403,898,1,2584,4,0,0,3
1523,898,1,2585,5,0,0,3
1643,898,1,2584,4,0,0,3
1763,898,1,2584,4,0,0,3
1883,898,1,2585,5,0,0,3
2003,898,1,2585,5,0,0,3
2123,898,1,2584,4,0,0,3
2243,898,1,2585,5,0,0,3
2363,898,1,2585,5,0,0,3
2483,898,1,2584,4,0,0,3
2603,898,1,2584,4,0,0,3
2723,898,1,2584,4,0,0,3
2843,898,1,2585,5,0,0,3
2963,897,0,2584,4,0,0,3
3083,898,1,2585,5,0,0,3
3203,898,1,2584,4,0,0,3
3322,898,1,2583,3,0,0,3
3441,898,1,2584,4,0,0,3
3560,898,1,2585,5,0,0,3
3679,898,1,2584,4,0,0,3
3798,898,1,2584,4,0,0,3
3917,898,1,2586,6,0,0,3
4036,898,1,2585,5,0,0,3
4155,896,-1,2585,5,0,0,3
4275,896,-1,2584,4,0,0,3
4395,898,1,2585,5,0,0,3
4515,897,0,2585,5,0,0,3
4635,895,-2,2586,6,0,0,3
4755,901,4,2584,4,0,0,3
4875,898,1,2584,4,0,0,3
4995,898,1,2585,5,0,0,3
