# session=2 label=3 name=underlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,876,0,2366,-584,0,3,2
205,878,2,2368,-582,0,3,2
326,878,2,2366,-584,0,3,2
446,878,2,2367,-583,0,3,2
566,878,2,2366,-584,0,3,2
686,878,2,2366,-584,0,3,2
806,878,2,2367,-583,0,3,2
926,878,2,2366,-584,0,3,2
1045,878,2,2367,-583,0,3,2
1165,878,2,2367,-583,0,3,2
1285,878,2,2367,-583,0,3,2
1405,878,2,2367,-583,0,3,2
1525,878,2,2367,-583,0,3,2
1645,878,2,2367,-583,0,3,2
1765,878,2,2367,-583,0,3,2
1884,878,2,2367,-583,0,3,2
2004,878,2,2366,-584,0,3,2
2124,878,2,2367,-583,0,3,2
2244,878,2,2367,-583,0,3,2
2364,878,2,2367,-583,0,3,2
2484,878,2,2366,-584,0,3,2
2604,878,2,2367,-583,0,3,2
2724,878,2,2367,-583,0,3,2
2844,878,2,2366,-584,0,3,2
2964,878,2,2368,-582,0,3,2
3083,878,2,2367,-583,0,3,2
3203,878,2,2367,-583,0,3,2
3322,878,2,2366,-584,0,3,2
3441,878,2,2366,-584,0,3,2
3560,878,2,2367,-583,0,3,2
3679,878,2,2367,-583,0,3,2
3799,878,2,2367,-583,0,3,2
3918,878,2,2367,-583,0,3,2
4037,878,2,2367,-583,0,3,2
4157,878,2,2368,-582,0,3,2
4277,878,2,2367,-583,0,3,2
4397,878,2,2368,-582,0,3,2
4518,878,2,2367,-583,0,3,2
4638,878,2,2366,-584,0,3,2
4758,878,2,2367,-583,0,3,2
4878,878,2,2367,-583,0,3,2
4998,878,2,2367,-583,0,3,2
