# session=1 label=3 name=underlit ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1324,16,2045,-449,0,3,1
226,1324,16,2046,-448,0,3,1
356,1323,15,2044,-450,0,3,1
487,1324,16,2045,-449,0,3,1
618,1324,16,2045,-449,0,3,1
748,1322,14,2045,-449,0,3,1
878,1324,16,2048,-446,0,3,1
1009,1320,12,2048,-446,0,3,1
1139,1322,14,2047,-447,0,3,1
1269,1319,11,2047,-447,0,3,1
1399,1322,14,2048,-446,0,3,1
1529,1320,12,2047,-447,0,3,1
1659,1319,11,2047,-447,0,3,1
1789,1321,13,2048,-446,0,3,1
1919,1319,11,2047,-447,0,3,1
2049,1320,12,2046,-448,0,3,1
2179,1320,12,2046,-448,0,3,1
2309,1319,11,2047,-447,0,3,1
2439,1321,13,2047,-447,0,3,1
2569,1320,12,2047,-447,0,3,1
2699,1320,12,2047,-447,0,3,1
2830,1319,11,2047,-447,0,3,1
2960,1320,12,2046,-448,0,3,1
3091,1321,13,2047,-447,0,3,1
3221,1322,14,2046,-448,0,3,1
3351,1320,12,2046,-448,0,3,1
3480,1320,12,2047,-447,0,3,1
3609,1322,14,2046,-448,0,3,1
3738,1322,14,2047,-447,0,3,1
3868,1320,12,2047,-447,0,3,1
3997,1322,14,2046,-448,0,3,1
4127,1321,13,2048,-446,0,3,1
4258,1320,12,2046,-448,0,3,1
4388,1322,14,2047,-447,0,3,1
4518,1325,17,2047,-447,0,3,1
4649,1321,13,2047,-447,0,3,1
4780,1320,12,2047,-447,0,3,1
4910,1320,12,2046,-448,0,3,1
5041,1320,12,2046,-448,0,3,1
