# session=2 label=1 name=too_close ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
76,505,-371,2992,42,0,1,2
186,505,-371,2991,41,0,1,2
296,505,-371,2991,41,0,1,2
406,505,-371,2991,41,0,1,2
516,505,-371,2991,41,0,1,2
626,505,-371,2991,41,0,1,2
737,505,-371,2991,41,0,1,2
847,505,-371,2991,41,0,1,2
957,505,-371,2991,41,0,1,2
1067,505,-371,2991,41,0,1,2
1178,505,-371,2991,41,0,1,2
1288,505,-371,2991,41,0,1,2
1398,505,-371,2991,41,0,1,2
1508,505,-371,2991,41,0,1,2
1618,505,-371,2991,41,0,1,2
1728,505,-371,2991,41,0,1,2
1838,505,-371,2991,41,0,1,2
1948,505,-371,2991,41,0,1,2
2058,505,-371,2991,41,0,1,2
2168,505,-371,2991,41,0,1,2
2278,505,-371,2991,41,0,1,2
2388,505,-371,2991,41,0,1,2
2498,505,-371,2991,41,0,1,2
2608,505,-371,2991,41,0,1,2
2719,505,-371,2991,41,0,1,2
2829,505,-371,2991,41,0,1,2
2939,505,-371,2991,41,0,1,2
3049,505,-371,2991,41,0,1,2
3159,505,-371,2992,42,0,1,2
3268,505,-371,2991,41,0,1,2
3377,505,-371,2991,41,0,1,2
3486,505,-371,2991,41,0,1,2
3595,505,-371,2991,41,0,1,2
3704,505,-371,2991,41,0,1,2
3813,505,-371,2991,41,0,1,2
3922,505,-371,2991,41,0,1,2
4031,505,-371,2991,41,0,1,2
4141,505,-371,2991,41,0,1,2
4251,505,-371,2991,41,0,1,2
4361,505,-371,2991,41,0,1,2
4471,505,-371,2991,41,0,1,2
4581,505,-371,2991,41,0,1,2
4691,505,-371,2991,41,0,1,2
4801,505,-371,2991,41,0,1,2
4911,505,-371,2991,41,0,1,2
5021,505,-371,2991,41,0,1,2
