# session=2 label=4 name=overlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,878,2,3657,707,0,4,2
205,880,3,3657,707,0,4,2
325,878,2,3657,707,0,4,2
444,878,2,3657,707,0,4,2
563,878,2,3657,707,0,4,2
683,878,2,3657,707,0,4,2
802,878,2,3656,706,0,4,2
921,878,2,3656,706,0,4,2
1041,878,2,3656,706,0,4,2
1161,880,4,3655,705,0,4,2
1280,879,3,3655,705,0,4,2
1400,880,3,3655,705,0,4,2
1519,878,2,3655,705,0,4,2
1639,878,2,3655,705,0,4,2
1758,878,2,3655,705,0,4,2
1878,878,2,3654,704,0,4,2
1998,878,2,3654,704,0,4,2
2118,878,2,3654,704,0,4,2
2237,878,2,3654,704,0,4,2
2357,878,2,3654,704,0,4,2
2477,880,3,3654,704,0,4,2
2596,880,3,3654,704,0,4,2
2715,878,2,3654,704,0,4,2
2834,878,2,3653,703,0,4,2
2954,880,3,3653,703,0,4,2
3075,880,4,3653,703,0,4,2
3194,878,2,3653,703,0,4,2
3313,880,3,3653,703,0,4,2
3432,878,2,3653,703,0,4,2
3551,880,4,3653,703,0,4,2
3670,878,2,3653,703,0,4,2
3789,878,2,3653,703,0,4,2
3908,878,2,3653,703,0,4,2
4027,878,2,3652,702,0,4,2
4147,880,3,3652,702,0,4,2
4267,878,2,3652,702,0,4,2
4387,878,2,3652,702,0,4,2
4506,878,2,3652,702,0,4,2
4626,878,2,3652,702,0,4,2
4746,878,2,3652,702,0,4,2
4866,878,2,3652,702,0,4,2
4987,878,2,3651,701,0,4,2
