# session=3 label=2 name=too_far ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
91,1119,222,2570,-10,0,2,3
217,1122,225,2569,-11,0,2,3
342,1119,222,2571,-9,0,2,3
468,1117,220,2571,-9,0,2,3
593,1117,220,2569,-11,0,2,3
718,1117,220,2569,-11,0,2,3
843,1117,220,2569,-11,0,2,3
968,1117,220,2569,-11,0,2,3
1093,1119,222,2568,-12,0,2,3
1218,1117,220,2569,-11,0,2,3
1342,1116,219,2568,-12,0,2,3
1467,1116,219,2569,-11,0,2,3
1592,1119,222,2569,-11,0,2,3
1717,1117,220,2571,-9,0,2,3
1842,1117,220,2569,-11,0,2,3
1967,1120,223,2569,-11,0,2,3
2092,1117,220,2569,-11,0,2,3
2218,1120,223,2569,-11,0,2,3
2343,1120,223,2569,-11,0,2,3
2468,1120,223,2568,-12,0,2,3
2593,1120,223,2569,-11,0,2,3
2718,1119,222,2569,-11,0,2,3
2843,1116,219,2568,-12,0,2,3
2968,1119,222,2569,-11,0,2,3
3093,1117,220,2570,-10,0,2,3
3217,1117,220,2570,-10,0,2,3
3341,1118,221,2567,-13,0,2,3
3465,1116,219,2568,-12,0,2,3
3589,1120,223,2568,-12,0,2,3
3714,1120,223,2568,-12,0,2,3
3839,1120,223,2569,-11,0,2,3
3963,1118,221,2569,-11,0,2,3
4088,1117,220,2569,-11,0,2,3
4213,1117,220,2569,-11,0,2,3
4338,1120,223,2570,-10,0,2,3
4463,1120,223,2569,-11,0,2,3
4588,1119,222,2567,-13,0,2,3
4714,1120,223,2569,-11,0,2,3
4839,1118,221,2568,-12,0,2,3
4964,1116,219,2567,-13,0,2,3
5089,1120,223,2568,-12,0,2,3
