# session=2 label=2 name=too_far ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
130,2372,1496,2940,-10,0,2,2
294,2374,1498,2940,-10,0,2,2
458,2372,1496,2940,-10,0,2,2
622,2374,1498,2940,-10,0,2,2
785,2372,1496,2940,-10,0,2,2
949,2374,1498,2940,-10,0,2,2
1113,2372,1496,2940,-10,0,2,2
1277,2372,1496,2940,-10,0,2,2
1441,2371,1494,2939,-11,0,2,2
1606,2373,1496,2940,-10,0,2,2
1768,2373,1496,2940,-10,0,2,2
1932,2373,1497,2940,-10,0,2,2
2096,2373,1496,2940,-10,0,2,2
2260,2373,1496,2940,-10,0,2,2
2423,2371,1494,2939,-11,0,2,2
2587,2373,1496,2940,-10,0,2,2
2751,2372,1496,2939,-11,0,2,2
2915,2373,1496,2940,-10,0,2,2
3079,2373,1496,2940,-10,0,2,2
3242,2372,1496,2940,-10,0,2,2
3406,2373,1496,2940,-10,0,2,2
3570,2372,1496,2940,-10,0,2,2
3734,2371,1494,2940,-10,0,2,2
3897,2373,1496,2940,-10,0,2,2
4061,2373,1496,2940,-10,0,2,2
4224,2373,1496,2940,-10,0,2,2
4388,2373,1496,2940,-10,0,2,2
4553,2373,1496,2940,-10,0,2,2
4717,2373,1496,2940,-10,0,2,2
4880,2371,1494,2940,-10,0,2,2
5042,2373,1496,2940,-10,0,2,2
