# session=3 label=4 name=overlit ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,899,2,2760,180,0,4,3
206,899,2,2760,180,0,4,3
326,901,4,2760,180,0,4,3
446,901,4,2759,179,0,4,3
565,899,2,2761,181,0,4,3
685,900,3,2761,181,0,4,3
805,899,2,2759,179,0,4,3
925,899,2,2760,180,0,4,3
1044,899,2,2760,180,0,4,3
1164,899,2,2761,181,0,4,3
1284,901,4,2760,180,0,4,3
1404,899,2,2761,181,0,4,3
1524,899,2,2759,179,0,4,3
1643,899,2,2759,179,0,4,3
1763,899,2,2759,179,0,4,3
1883,899,2,2761,181,0,4,3
2003,901,4,2759,179,0,4,3
2122,899,2,2760,180,0,4,3
2242,899,2,2759,179,0,4,3
2362,899,2,2760,180,0,4,3
2481,901,4,2760,180,0,4,3
2600,901,4,2759,179,0,4,3
2720,901,4,2759,179,0,4,3
2839,901,4,2759,179,0,4,3
2959,900,3,2760,180,0,4,3
3076,899,2,2759,179,0,4,3
3195,899,2,2758,178,0,4,3
3314,901,4,2759,179,0,4,3
3432,899,2,2759,179,0,4,3
3551,899,2,2760,180,0,4,3
3670,899,2,2759,179,0,4,3
3789,899,2,2762,182,0,4,3
3908,900,3,2760,180,0,4,3
4027,899,2,2759,179,0,4,3
4147,901,4,2760,180,0,4,3
4266,900,3,2759,179,0,4,3
4386,900,3,2759,179,0,4,3
4506,899,2,2759,179,0,4,3
4626,900,3,2759,179,0,4,3
4746,900,3,2759,179,0,4,3
4866,900,3,2758,178,0,4,3
4986,900,3,2760,180,0,4,3
