# session=2 label=3 name=underlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,878,2,2678,-272,0,3,2
205,878,2,2679,-271,0,3,2
324,878,2,2679,-271,0,3,2
444,876,0,2680,-270,0,3,2
563,878,2,2678,-272,0,3,2
682,876,0,2679,-271,0,3,2
802,878,2,2678,-272,0,3,2
922,878,2,2679,-271,0,3,2
1042,878,2,2679,-271,0,3,2
1162,876,0,2679,-271,0,3,2
1282,878,2,2678,-272,0,3,2
1402,877,1,2679,-271,0,3,2
1521,876,0,2679,-271,0,3,2
1641,878,2,2679,-271,0,3,2
1761,878,2,2681,-269,0,3,2
1881,878,2,2681,-269,0,3,2
2001,876,0,2680,-270,0,3,2
2120,876,-0,2680,-270,0,3,2
2240,878,2,2682,-268,0,3,2
2359,878,2,2680,-270,0,3,2
2480,878,2,2682,-268,0,3,2
2600,878,2,2680,-270,0,3,2
2720,878,2,2681,-269,0,3,2
2840,878,2,2681,-269,0,3,2
2960,878,2,2681,-269,0,3,2
3080,878,2,2681,-269,0,3,2
3199,878,2,2680,-270,0,3,2
3318,878,2,2679,-271,0,3,2
3437,878,2,2681,-269,0,3,2
3556,878,2,2680,-270,0,3,2
3675,878,2,2680,-270,0,3,2
3794,878,2,2681,-269,0,3,2
3913,878,2,2681,-269,0,3,2
4032,876,0,2681,-269,0,3,2
4152,878,2,2682,-268,0,3,2
4272,878,2,2682,-268,0,3,2
4391,876,0,2682,-268,0,3,2
4511,878,2,2681,-269,0,3,2
4631,878,2,2682,-268,0,3,2
4751,878,2,2682,-268,0,3,2
4871,878,2,2681,-269,0,3,2
4991,878,2,2682,-268,0,3,2
