# session=2 label=0 name=optimal ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,878,2,3016,66,0,0,2
206,878,2,3016,66,0,0,2
326,878,2,3016,66,0,0,2
445,878,2,3016,66,0,0,2
565,878,2,3016,66,0,0,2
685,878,2,3016,66,0,0,2
805,878,2,3016,66,0,0,2
924,878,2,3016,66,0,0,2
1043,878,2,3015,65,0,0,2
1162,878,2,3016,66,0,0,2
1281,878,2,3015,65,0,0,2
1400,878,2,3015,65,0,0,2
1520,878,2,3015,65,0,0,2
1640,878,2,3015,65,0,0,2
1760,878,2,3016,66,0,0,2
1879,878,2,3015,65,0,0,2
1998,878,2,3015,65,0,0,2
2117,878,2,3015,65,0,0,2
2237,878,2,3015,65,0,0,2
2356,878,2,3015,65,0,0,2
2476,878,2,3015,65,0,0,2
2596,878,2,3015,65,0,0,2
2715,878,2,3015,65,0,0,2
2835,878,2,3015,65,0,0,2
2955,878,2,3015,65,0,0,2
3075,878,2,3015,65,0,0,2
3194,878,2,3015,65,0,0,2
3313,878,2,3014,64,0,0,2
3432,878,2,3015,65,0,0,2
3551,878,2,3015,65,0,0,2
3670,880,3,3015,65,0,0,2
3789,878,2,3015,65,0,0,2
3908,880,4,3015,65,0,0,2
4027,878,2,3015,65,0,0,2
4147,878,2,3015,65,0,0,2
4267,878,2,3015,65,0,0,2
4386,878,2,3016,66,0,0,2
4505,878,2,3016,66,0,0,2
4625,878,2,3016,66,0,0,2
4745,878,2,3016,66,0,0,2
4865,878,2,3016,66,0,0,2
4984,878,2,3016,66,0,0,2
