# session=1 label=1 name=too_close ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
91,1051,-257,2564,70,0,1,1
216,1051,-257,2564,70,0,1,1
341,1051,-257,2564,70,0,1,1
466,1051,-257,2563,69,0,1,1
591,1051,-257,2563,69,0,1,1
715,1051,-257,2565,71,0,1,1
840,1051,-257,2564,70,0,1,1
965,1051,-257,2564,70,0,1,1
1090,1051,-257,2564,70,0,1,1
1214,1051,-257,2563,69,0,1,1
1339,1051,-257,2564,70,0,1,1
1464,1051,-257,2564,70,0,1,1
1589,1051,-257,2565,71,0,1,1
1713,1049,-259,2564,70,0,1,1
1838,1055,-253,2564,70,0,1,1
1963,1051,-257,2563,69,0,1,1
2088,1049,-259,2564,70,0,1,1
2213,1051,-257,2564,70,0,1,1
2338,1051,-257,2564,70,0,1,1
2463,1051,-257,2563,69,0,1,1
2588,1051,-257,2564,70,0,1,1
2713,1051,-257,2564,70,0,1,1
2837,1051,-257,2563,69,0,1,1
2962,1055,-253,2564,70,0,1,1
3087,1051,-257,2564,70,0,1,1
3212,1051,-257,2563,69,0,1,1
3336,1051,-257,2563,69,0,1,1
3460,1051,-257,2563,69,0,1,1
3584,1051,-257,2564,70,0,1,1
3708,1051,-257,2564,70,0,1,1
3832,1055,-253,2564,70,0,1,1
3956,1055,-253,2563,69,0,1,1
4081,1051,-257,2564,70,0,1,1
4206,1051,-257,2563,69,0,1,1
4331,1055,-253,2564,70,0,1,1
4456,1055,-253,2565,71,0,1,1
4581,1055,-253,2564,70,0,1,1
4706,1051,-257,2563,69,0,1,1
4831,1055,-253,2564,70,0,1,1
4956,1055,-253,2564,70,0,1,1
5081,1051,-257,2564,70,0,1,1
