# session=3 label=3 name=underlit ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,900,3,2399,-181,0,3,3
205,900,3,2398,-182,0,3,3
325,899,2,2398,-182,0,3,3
445,900,3,2398,-182,0,3,3
565,900,3,2397,-183,0,3,3
684,899,2,2399,-181,0,3,3
804,900,3,2398,-182,0,3,3
924,900,3,2397,-183,0,3,3
1044,900,3,2399,-181,0,3,3
1164,900,3,2399,-181,0,3,3
1284,900,3,2396,-184,0,3,3
1404,900,3,2399,-181,0,3,3
1524,900,3,2398,-182,0,3,3
1644,900,3,2398,-182,0,3,3
1764,900,3,2398,-182,0,3,3
1884,900,3,2399,-181,0,3,3
2004,900,3,2398,-182,0,3,3
2124,900,3,2398,-182,0,3,3
2244,900,3,2398,-182,0,3,3
2364,900,3,2400,-180,0,3,3
2485,900,3,2399,-181,0,3,3
2606,900,3,2398,-182,0,3,3
2725,900,3,2398,-182,0,3,3
2845,900,3,2397,-183,0,3,3
2964,900,3,2397,-183,0,3,3
3084,900,3,2397,-183,0,3,3
3204,900,3,2398,-182,0,3,3
3323,900,3,2398,-182,0,3,3
3442,900,3,2398,-182,0,3,3
3561,900,3,2397,-183,0,3,3
3680,900,3,2398,-182,0,3,3
3799,900,3,2397,-183,0,3,3
3918,900,3,2398,-182,0,3,3
4038,900,3,2398,-182,0,3,3
4158,900,3,2397,-183,0,3,3
4278,900,3,2398,-182,0,3,3
4398,900,3,2398,-182,0,3,3
4518,900,3,2398,-182,0,3,3
4638,900,3,2398,-182,0,3,3
4758,900,3,2399,-181,0,3,3
4878,900,3,2397,-183,0,3,3
4998,900,3,2399,-181,0,3,3
