# session=3 label=1 name=too_close ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,862,-35,2585,5,0,1,3
205,864,-33,2586,6,0,1,3
324,864,-33,2585,5,0,1,3
444,864,-33,2585,5,0,1,3
564,864,-33,2585,5,0,1,3
683,864,-33,2584,4,0,1,3
803,864,-33,2585,5,0,1,3
923,864,-33,2585,5,0,1,3
1043,864,-33,2585,5,0,1,3
1162,864,-33,2586,6,0,1,3
1281,862,-35,2585,5,0,1,3
1400,864,-33,2585,5,0,1,3
1520,864,-33,2586,6,0,1,3
1640,864,-33,2586,6,0,1,3
1760,864,-33,2586,6,0,1,3
1880,864,-33,2585,5,0,1,3
2000,864,-33,2585,5,0,1,3
2120,864,-33,2586,6,0,1,3
2240,862,-35,2586,6,0,1,3
2360,864,-33,2584,4,0,1,3
2479,862,-35,2585,5,0,1,3
2599,862,-35,2585,5,0,1,3
2719,864,-33,2585,5,0,1,3
2839,862,-35,2585,5,0,1,3
2959,862,-35,2584,4,0,1,3
3079,864,-33,2585,5,0,1,3
3199,862,-35,2585,5,0,1,3
3318,862,-35,2584,4,0,1,3
3437,862,-35,2585,5,0,1,3
3556,862,-35,2585,5,0,1,3
3675,862,-35,2586,6,0,1,3
3794,862,-35,2586,6,0,1,3
3913,864,-33,2585,5,0,1,3
4032,862,-35,2586,6,0,1,3
4152,862,-35,2585,5,0,1,3
4272,864,-33,2585,5,0,1,3
4391,862,-35,2585,5,0,1,3
4511,862,-35,2585,5,0,1,3
4631,862,-35,2585,5,0,1,3
4751,862,-35,2585,5,0,1,3
4871,864,-33,2585,5,0,1,3
4991,864,-33,2585,5,0,1,3
