# session=3 label=1 name=too_close ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
81,685,-212,2597,17,0,1,3
196,683,-214,2598,18,0,1,3
311,683,-214,2598,18,0,1,3
426,683,-214,2597,17,0,1,3
541,683,-214,2597,17,0,1,3
655,683,-214,2596,16,0,1,3
770,685,-212,2597,17,0,1,3
885,683,-214,2597,17,0,1,3
1000,683,-214,2597,17,0,1,3
1115,680,-217,2598,18,0,1,3
1230,683,-214,2597,17,0,1,3
1344,683,-214,2598,18,0,1,3
1459,683,-214,2597,17,0,1,3
1573,683,-214,2598,18,0,1,3
1688,683,-214,2598,18,0,1,3
1803,685,-212,2597,17,0,1,3
1916,683,-214,2598,18,0,1,3
2030,650,-247,2597,17,0,1,3
2143,657,-240,2597,17,0,1,3
2257,652,-245,2598,18,0,1,3
2371,664,-233,2599,19,0,1,3
2484,683,-214,2597,17,0,1,3
2597,680,-217,2596,16,0,1,3
2710,683,-214,2598,18,0,1,3
2823,683,-214,2597,17,0,1,3
2937,655,-242,2597,17,0,1,3
3050,683,-214,2597,17,0,1,3
3163,672,-225,2597,17,0,1,3
3277,683,-214,2597,17,0,1,3
3390,680,-217,2597,17,0,1,3
3502,657,-240,2597,17,0,1,3
3614,646,-251,2596,16,0,1,3
3726,652,-245,2597,17,0,1,3
3838,637,-260,2597,17,0,1,3
3950,671,-226,2597,17,0,1,3
4062,650,-247,2597,17,0,1,3
4175,683,-214,2597,17,0,1,3
4288,644,-252,2597,17,0,1,3
4401,659,-238,2597,17,0,1,3
4514,683,-214,2598,18,0,1,3
4627,639,-258,2596,16,0,1,3
4740,683,-214,2597,17,0,1,3
4853,646,-251,2597,17,0,1,3
4966,683,-214,2597,17,0,1,3
