# session=3 label=1 name=too_close ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
81,761,-136,2592,12,0,1,3
196,761,-136,2592,12,0,1,3
311,761,-136,2592,12,0,1,3
426,761,-136,2593,13,0,1,3
542,761,-136,2592,12,0,1,3
657,761,-136,2593,13,0,1,3
773,761,-136,2592,12,0,1,3
889,761,-136,2592,12,0,1,3
1004,761,-136,2592,12,0,1,3
1120,761,-136,2593,13,0,1,3
1235,761,-136,2592,12,0,1,3
1350,761,-136,2592,12,0,1,3
1465,761,-136,2592,12,0,1,3
1580,761,-136,2593,13,0,1,3
1695,761,-136,2592,12,0,1,3
1810,761,-136,2593,13,0,1,3
1926,761,-136,2592,12,0,1,3
2041,761,-136,2592,12,0,1,3
2156,761,-136,2593,13,0,1,3
2271,761,-136,2592,12,0,1,3
2386,761,-136,2592,12,0,1,3
2501,760,-137,2592,12,0,1,3
2616,761,-136,2592,12,0,1,3
2732,761,-136,2592,12,0,1,3
2847,761,-136,2593,13,0,1,3
2962,761,-136,2591,11,0,1,3
3077,761,-136,2592,12,0,1,3
3191,761,-136,2592,12,0,1,3
3305,760,-137,2591,11,0,1,3
3420,762,-135,2592,12,0,1,3
3535,762,-135,2592,12,0,1,3
3649,762,-135,2592,12,0,1,3
3763,760,-137,2592,12,0,1,3
3878,761,-136,2592,12,0,1,3
3993,762,-135,2592,12,0,1,3
4108,762,-135,2592,12,0,1,3
4222,762,-135,2593,13,0,1,3
4337,762,-135,2592,12,0,1,3
4451,762,-135,2591,11,0,1,3
4566,762,-135,2592,12,0,1,3
4681,760,-137,2593,13,0,1,3
4795,762,-135,2592,12,0,1,3
4909,762,-135,2592,12,0,1,3
5024,762,-135,2593,13,0,1,3
