# session=1 label=2 name=too_far ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
115,1861,553,2563,69,0,2,1
264,1860,552,2563,69,0,2,1
413,1861,553,2565,71,0,2,1
561,1861,553,2565,71,0,2,1
710,1860,552,2566,72,0,2,1
859,1861,553,2566,72,0,2,1
1008,1860,552,2574,80,0,2,1
1157,1860,552,2576,82,0,2,1
1306,1861,553,2575,81,0,2,1
1455,1861,553,2574,80,0,2,1
1604,1861,553,2574,80,0,2,1
1753,1860,552,2575,81,0,2,1
1901,1859,551,2574,80,0,2,1
2049,1859,551,2575,81,0,2,1
2198,1860,552,2575,81,0,2,1
2347,1860,552,2575,81,0,2,1
2496,1860,552,2575,81,0,2,1
2645,1861,553,2576,82,0,2,1
2794,1860,552,2575,81,0,2,1
2944,1860,552,2574,80,0,2,1
3093,1862,554,2575,81,0,2,1
3242,1860,552,2574,80,0,2,1
3391,1859,551,2574,80,0,2,1
3540,1861,553,2574,80,0,2,1
3688,1860,552,2574,80,0,2,1
3837,1864,556,2574,80,0,2,1
3986,1864,556,2575,81,0,2,1
4135,1864,556,2574,80,0,2,1
4285,1862,554,2575,81,0,2,1
4434,1864,556,2575,81,0,2,1
4583,1861,553,2575,81,0,2,1
4732,1861,553,2575,81,0,2,1
4881,1860,552,2574,80,0,2,1
5031,1860,552,2575,81,0,2,1
