# session=2 label=3 name=underlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,876,0,1883,-1067,0,3,2
206,876,0,1881,-1069,0,3,2
326,878,2,1880,-1070,0,3,2
446,876,0,1880,-1070,0,3,2
566,876,0,1880,-1070,0,3,2
686,876,0,1880,-1070,0,3,2
806,876,0,1882,-1068,0,3,2
926,876,0,1882,-1068,0,3,2
1046,876,-0,1881,-1069,0,3,2
1166,876,0,1879,-1071,0,3,2
1286,876,0,1881,-1069,0,3,2
1405,876,0,1881,-1069,0,3,2
1525,876,0,1882,-1068,0,3,2
1645,878,2,1881,-1069,0,3,2
1765,879,3,1881,-1069,0,3,2
1885,876,0,1883,-1067,0,3,2
2006,876,0,1880,-1070,0,3,2
2126,877,1,1880,-1070,0,3,2
2246,878,2,1880,-1070,0,3,2
2365,879,3,1880,-1070,0,3,2
2485,879,3,1880,-1070,0,3,2
2605,879,3,1880,-1070,0,3,2
2724,879,3,1880,-1070,0,3,2
2844,879,3,1880,-1070,0,3,2
2965,879,3,1880,-1070,0,3,2
3085,879,3,1882,-1068,0,3,2
3205,879,3,1881,-1069,0,3,2
3324,879,3,1880,-1070,0,3,2
3443,879,3,1881,-1069,0,3,2
3562,879,3,1881,-1069,0,3,2
3681,879,3,1881,-1069,0,3,2
3800,879,3,1879,-1071,0,3,2
3919,878,2,1882,-1068,0,3,2
4038,879,3,1882,-1068,0,3,2
4158,877,1,1881,-1069,0,3,2
4278,878,2,1881,-1069,0,3,2
4397,878,2,1881,-1069,0,3,2
4516,878,2,1881,-1069,0,3,2
4636,878,2,1879,-1071,0,3,2
4756,878,2,1881,-1069,0,3,2
4876,878,2,1880,-1070,0,3,2
4996,878,2,1880,-1070,0,3,2
