# session=3 label=0 name=optimal ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,897,0,2583,3,0,0,3
204,898,1,2585,5,0,0,3
324,898,1,2584,4,0,0,3
443,898,1,2584,4,0,0,3
563,898,1,2584,4,0,0,3
683,898,1,2584,4,0,0,3
802,898,1,2584,4,0,0,3
921,898,1,2584,4,0,0,3
1041,898,1,2584,4,0,0,3
1161,894,-3,2584,4,0,0,3
1280,898,1,2585,5,0,0,3
1399,897,0,2585,5,0,0,3
1518,898,1,2584,4,0,0,3
1638,898,1,2583,3,0,0,3
1758,896,-1,2585,5,0,0,3
1877,897,0,2585,5,0,0,3
1996,896,-1,2584,4,0,0,3
2116,896,-1,2585,5,0,0,3
2236,896,-1,2585,5,0,0,3
2356,896,-1,2585,5,0,0,3
2475,898,1,2584,4,0,0,3
2594,898,1,2585,5,0,0,3
2713,898,1,2584,4,0,0,3
2832,896,-1,2585,5,0,0,3
2951,898,1,2584,4,0,0,3
3070,895,-2,2585,5,0,0,3
3189,898,1,2583,3,0,0,3
3308,896,-1,2584,4,0,0,3
3427,898,1,2584,4,0,0,3
3546,896,-1,2585,5,0,0,3
3665,898,1,2584,4,0,0,3
3784,898,1,2585,5,0,0,3
3903,898,1,2584,4,0,0,3
4022,898,1,2584,4,0,0,3
4141,898,1,2585,5,0,0,3
4260,898,1,2585,5,0,0,3
4379,898,1,2585,5,0,0,3
4498,898,1,2585,5,0,0,3
4617,898,1,2584,4,0,0,3
4736,896,-1,2585,5,0,0,3
4855,898,1,2585,5,0,0,3
4974,898,1,2584,4,0,0,3
