# session=3 label=4 name=overlit ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,900,3,3088,508,0,4,3
205,900,3,3088,508,0,4,3
324,900,3,3088,508,0,4,3
443,900,3,3089,509,0,4,3
563,898,1,3088,508,0,4,3
682,898,1,3089,509,0,4,3
801,898,1,3088,508,0,4,3
921,900,3,3088,508,0,4,3
1041,900,3,3089,509,0,4,3
1160,899,2,3087,507,0,4,3
1280,900,3,3087,507,0,4,3
1399,900,3,3087,507,0,4,3
1519,900,3,3088,508,0,4,3
1639,900,3,3086,506,0,4,3
1758,900,3,3089,509,0,4,3
1878,900,3,3088,508,0,4,3
1998,900,3,3087,507,0,4,3
2118,899,2,3088,508,0,4,3
2238,898,1,3088,508,0,4,3
2358,900,3,3088,508,0,4,3
2478,898,1,3088,508,0,4,3
2598,900,3,3088,508,0,4,3
2718,900,3,3088,508,0,4,3
2838,900,3,3088,508,0,4,3
2958,900,3,3087,507,0,4,3
3078,900,3,3088,508,0,4,3
3197,901,4,3088,508,0,4,3
3316,900,3,3088,508,0,4,3
3435,901,4,3087,507,0,4,3
3554,901,4,3088,508,0,4,3
3673,900,3,3087,507,0,4,3
3792,901,4,3087,507,0,4,3
3911,901,4,3088,508,0,4,3
4030,901,4,3086,506,0,4,3
4150,899,2,3087,507,0,4,3
4269,901,4,3087,507,0,4,3
4389,899,2,3088,508,0,4,3
4508,899,2,3088,508,0,4,3
4628,901,4,3087,507,0,4,3
4747,901,4,3087,507,0,4,3
4867,901,4,3088,508,0,4,3
4986,901,4,3087,507,0,4,3
