t_ms,dist_mm,ldr_raw,ax,ay,az,gx,gy,gz,pitch,roll,amag,label,session
158,2215.8,372,-1.0198,-0.0089,-0.0056,3.36,3.23,0.61,89.41,-122.22,1.0198,3,99
298,2162.3,356,-1.0200,-0.0083,-0.0023,3.23,3.30,0.73,89.52,-105.61,1.0201,3,99
464,2272.7,222,-1.0220,-0.0082,-0.0050,3.30,3.85,0.92,89.46,-121.46,1.0220,3,99
604,2163.8,237,-1.0210,-0.0079,-0.0078,3.17,3.23,0.79,89.38,-134.56,1.0211,3,99
770,2167.6,283,-1.0209,-0.0065,-0.0061,3.60,2.87,0.73,89.50,-133.33,1.0209,3,99
966,2296.7,224,-1.0192,-0.0077,-0.0062,3.48,3.11,0.67,89.44,-128.99,1.0192,3,99
1106,2163.8,226,-1.0203,-0.0100,-0.0066,3.66,3.23,0.31,89.33,-123.37,1.0203,3,99
1272,2258.5,332,-1.0188,-0.0061,-0.0065,3.97,2.81,0.43,89.50,-136.67,1.0188,3,99
1412,2163.6,313,-1.0172,-0.0065,-0.0059,3.48,3.54,0.98,89.51,-132.17,1.0172,3,99
1578,2241.8,380,-1.0178,-0.0076,-0.0057,3.78,2.44,0.55,89.47,-127.16,1.0179,3,99
1774,2236.2,356,-1.0188,-0.0076,-0.0055,3.60,3.30,0.49,89.47,-125.97,1.0188,3,99
1914,2169.0,346,-1.0194,-0.0068,-0.0035,3.48,3.48,0.73,89.57,-117.38,1.0194,3,99
2080,2299.8,341,-1.0198,-0.0093,-0.0054,3.54,3.42,0.67,89.40,-120.07,1.0198,3,99
2220,2168.8,335,-1.0204,-0.0076,-0.0061,3.48,3.42,0.55,89.45,-128.88,1.0204,3,99
2385,2196.4,221,-1.0189,-0.0082,-0.0057,3.54,3.30,0.92,89.44,-125.05,1.0190,3,99
2581,2168.6,333,-1.0194,-0.0072,-0.0052,3.48,3.11,0.61,89.50,-126.09,1.0194,3,99
2721,2163.1,315,-1.0208,-0.0085,-0.0062,3.23,2.93,0.98,89.41,-126.08,1.0208,3,99
2887,2281.1,213,-1.0187,-0.0076,-0.0065,3.60,3.36,0.37,89.44,-130.53,1.0187,3,99
3027,2164.7,226,-1.0193,-0.0076,-0.0061,3.85,3.17,0.31,89.45,-128.88,1.0193,3,99
