# session=1 label=0 name=optimal ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1308,0,2517,23,0,0,1
226,1308,-0,2517,23,0,0,1
356,1310,2,2517,23,0,0,1
486,1308,0,2519,25,0,0,1
616,1310,2,2519,25,0,0,1
746,1310,2,2518,24,0,0,1
876,1310,2,2518,24,0,0,1
1006,1310,2,2518,24,0,0,1
1136,1310,2,2517,23,0,0,1
1266,1310,2,2518,24,0,0,1
1396,1309,1,2519,25,0,0,1
1526,1308,-0,2519,25,0,0,1
1656,1308,-0,2518,24,0,0,1
1786,1309,1,2519,25,0,0,1
1916,1310,2,2518,24,0,0,1
2046,1308,-0,2519,25,0,0,1
2176,1308,-0,2519,25,0,0,1
2306,1308,-0,2519,25,0,0,1
2436,1310,2,2518,24,0,0,1
2566,1310,2,2518,24,0,0,1
2696,1308,0,2517,23,0,0,1
2825,1310,2,2518,24,0,0,1
2955,1310,2,2519,25,0,0,1
3085,1310,2,2519,25,0,0,1
3214,1310,2,2518,24,0,0,1
3344,1310,2,2519,25,0,0,1
3473,1310,2,2518,24,0,0,1
3602,1310,2,2519,25,0,0,1
3732,1310,2,2519,25,0,0,1
3861,1308,-0,2518,24,0,0,1
3991,1308,-0,2519,25,0,0,1
4121,1308,0,2519,25,0,0,1
4250,1308,0,2519,25,0,0,1
4380,1310,2,2519,25,0,0,1
4512,1308,-0,2519,25,0,0,1
4642,1308,-0,2519,25,0,0,1
4772,1310,2,2520,26,0,0,1
4902,1308,-0,2521,27,0,0,1
5033,1309,1,2520,26,0,0,1
