# session=2 label=1 name=too_close ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
81,698,-179,2957,7,0,1,2
195,698,-179,2957,7,0,1,2
310,698,-179,2957,7,0,1,2
425,698,-179,2957,7,0,1,2
540,698,-178,2957,7,0,1,2
655,698,-179,2957,7,0,1,2
770,700,-177,2957,7,0,1,2
885,698,-179,2957,7,0,1,2
1000,698,-179,2957,7,0,1,2
1115,698,-179,2957,7,0,1,2
1230,698,-179,2957,7,0,1,2
1345,698,-178,2957,7,0,1,2
1460,698,-179,2957,7,0,1,2
1575,694,-182,2957,7,0,1,2
1690,698,-178,2957,7,0,1,2
1805,698,-179,2957,7,0,1,2
1919,698,-179,2957,7,0,1,2
2034,698,-179,2957,7,0,1,2
2149,698,-179,2957,7,0,1,2
2264,700,-177,2957,7,0,1,2
2379,700,-177,2957,7,0,1,2
2494,700,-177,2957,7,0,1,2
2609,698,-179,2957,7,0,1,2
2723,698,-179,2957,7,0,1,2
2837,698,-179,2957,7,0,1,2
2952,698,-179,2957,7,0,1,2
3067,698,-179,2957,7,0,1,2
3181,698,-179,2957,7,0,1,2
3295,698,-179,2957,7,0,1,2
3409,698,-179,2957,7,0,1,2
3523,698,-179,2957,7,0,1,2
3637,698,-179,2957,7,0,1,2
3751,698,-179,2957,7,0,1,2
3865,698,-179,2957,7,0,1,2
3979,698,-179,2957,7,0,1,2
4093,698,-179,2957,7,0,1,2
4208,699,-178,2957,7,0,1,2
4323,698,-178,2957,7,0,1,2
4438,698,-179,2957,7,0,1,2
4553,699,-178,2957,7,0,1,2
4668,699,-178,2956,6,0,1,2
4783,699,-178,2957,7,0,1,2
4898,698,-179,2957,7,0,1,2
5013,699,-178,2957,7,0,1,2
