# session=1 label=2 name=too_far ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
106,1610,302,2576,82,0,2,1
246,1610,302,2577,83,0,2,1
386,1610,302,2576,82,0,2,1
525,1610,302,2576,82,0,2,1
664,1610,302,2577,83,0,2,1
803,1610,302,2577,83,0,2,1
943,1610,302,2576,82,0,2,1
1083,1610,302,2577,83,0,2,1
1223,1610,302,2577,83,0,2,1
1363,1610,302,2577,83,0,2,1
1503,1611,303,2576,82,0,2,1
1643,1610,302,2577,83,0,2,1
1783,1610,302,2576,82,0,2,1
1922,1610,302,2577,83,0,2,1
2062,1610,302,2577,83,0,2,1
2201,1610,302,2577,83,0,2,1
2340,1612,304,2577,83,0,2,1
2480,1610,302,2576,82,0,2,1
2620,1610,302,2576,82,0,2,1
2759,1609,301,2577,83,0,2,1
2899,1606,298,2576,82,0,2,1
3039,1606,298,2577,83,0,2,1
3179,1606,298,2577,83,0,2,1
3318,1612,304,2577,83,0,2,1
3457,1606,298,2576,82,0,2,1
3596,1610,302,2576,82,0,2,1
3735,1610,302,2576,82,0,2,1
3874,1612,304,2577,83,0,2,1
4013,1610,302,2578,84,0,2,1
4153,1612,304,2577,83,0,2,1
4293,1612,304,2577,83,0,2,1
4432,1610,302,2577,83,0,2,1
4571,1610,302,2576,82,0,2,1
4711,1612,304,2576,82,0,2,1
4851,1610,302,2577,83,0,2,1
4991,1612,304,2576,82,0,2,1
