# session=1 label=0 name=optimal ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1309,1,2535,41,0,0,1
226,1309,1,2535,41,0,0,1
356,1309,1,2535,41,0,0,1
486,1307,-1,2535,41,0,0,1
616,1309,1,2536,42,0,0,1
745,1309,1,2535,41,0,0,1
875,1309,1,2535,41,0,0,1
1005,1309,1,2536,42,0,0,1
1135,1310,2,2535,41,0,0,1
1265,1309,1,2536,42,0,0,1
1395,1309,1,2536,42,0,0,1
1525,1309,1,2535,41,0,0,1
1655,1309,1,2535,41,0,0,1
1785,1309,1,2536,42,0,0,1
1916,1311,3,2535,41,0,0,1
2046,1311,3,2535,41,0,0,1
2176,1309,1,2535,41,0,0,1
2306,1311,3,2535,41,0,0,1
2436,1311,3,2536,42,0,0,1
2566,1310,2,2536,42,0,0,1
2696,1311,3,2536,42,0,0,1
2826,1310,2,2537,43,0,0,1
2956,1311,3,2536,42,0,0,1
3086,1311,3,2536,42,0,0,1
3216,1311,3,2535,41,0,0,1
3345,1309,1,2536,42,0,0,1
3474,1311,3,2536,42,0,0,1
3603,1311,3,2535,41,0,0,1
3732,1311,3,2536,42,0,0,1
3861,1311,3,2536,42,0,0,1
3990,1311,3,2536,42,0,0,1
4120,1311,3,2536,42,0,0,1
4250,1311,3,2536,42,0,0,1
4380,1311,3,2537,43,0,0,1
4510,1311,3,2536,42,0,0,1
4640,1309,1,2536,42,0,0,1
4770,1309,1,2536,42,0,0,1
4900,1309,1,2537,43,0,0,1
5030,1312,4,2537,43,0,0,1
