t_ms,dist_mm,ldr_raw,ax,ay,az,gx,gy,gz,pitch,roll,amag,label,session
159,2195.5,450,-1.0206,-0.0085,-0.0048,3.54,2.93,0.67,89.45,-119.12,1.0207,4,99
299,2164.3,411,-1.0183,-0.0081,-0.0040,3.54,3.30,0.43,89.49,-116.57,1.0184,4,99
465,2311.5,366,-1.0177,-0.0082,-0.0050,3.48,3.23,0.61,89.46,-121.46,1.0177,4,99
605,2162.6,363,-1.0204,-0.0082,-0.0054,3.66,3.60,0.49,89.45,-123.29,1.0204,4,99
771,2269.8,131,-1.0197,-0.0082,-0.0054,3.97,2.87,0.67,89.45,-123.29,1.0197,4,99
966,2215.6,362,-1.0195,-0.0082,-0.0048,3.11,3.54,0.67,89.47,-120.20,1.0196,4,99
1106,2167.6,341,-1.0204,-0.0071,-0.0050,3.72,3.42,0.67,89.51,-125.26,1.0204,4,99
1272,2308.0,140,-1.0197,-0.0078,-0.0060,3.42,3.36,0.73,89.45,-127.44,1.0197,4,99
1412,2164.0,167,-1.0193,-0.0087,-0.0048,3.60,3.30,0.67,89.44,-118.78,1.0193,4,99
1578,2264.3,368,-1.0204,-0.0074,-0.0052,3.17,3.42,0.98,89.49,-125.18,1.0204,4,99
1773,2219.0,143,-1.0194,-0.0087,-0.0048,3.48,3.11,0.49,89.44,-118.78,1.0195,4,99
1913,2169.1,174,-1.0184,-0.0077,-0.0045,3.42,2.87,0.98,89.50,-120.43,1.0185,4,99
2079,2183.9,395,-1.0208,-0.0090,-0.0070,3.54,3.85,0.79,89.36,-127.61,1.0208,4,99
2219,2167.2,343,-1.0209,-0.0072,-0.0050,2.93,3.05,1.22,89.51,-124.80,1.0209,4,99
2385,2313.0,445,-1.0188,-0.0077,-0.0038,3.23,2.75,0.55,89.52,-116.20,1.0188,4,99
2581,2239.8,414,-1.0186,-0.0071,-0.0062,2.81,3.05,0.67,89.47,-131.33,1.0186,4,99
2721,2161.4,400,-1.0201,-0.0105,-0.0054,3.72,3.91,0.43,89.34,-117.10,1.0202,4,99
2887,2278.0,368,-1.0203,-0.0089,-0.0043,3.72,3.05,0.55,89.45,-115.62,1.0203,4,99
3027,2163.1,368,-1.0204,-0.0073,-0.0034,3.42,3.23,0.67,89.55,-115.02,1.0204,4,99
