# session=2 label=2 name=too_far ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
106,1884,1008,2934,-16,0,2,2
245,1756,880,2934,-16,0,2,2
384,1880,1004,2934,-16,0,2,2
524,1884,1008,2934,-16,0,2,2
664,1760,883,2934,-16,0,2,2
804,1884,1008,2934,-16,0,2,2
944,1761,885,2934,-16,0,2,2
1084,1880,1004,2934,-16,0,2,2
1224,1880,1004,2934,-16,0,2,2
1363,1879,1002,2934,-16,0,2,2
1503,1879,1002,2934,-16,0,2,2
1642,1763,887,2934,-16,0,2,2
1782,1761,885,2934,-16,0,2,2
1923,1878,1002,2934,-16,0,2,2
2063,1756,880,2934,-16,0,2,2
2203,1879,1002,2934,-16,0,2,2
2343,1879,1002,2934,-16,0,2,2
2483,1878,1002,2934,-16,0,2,2
2623,1878,1002,2934,-16,0,2,2
2762,1761,885,2934,-16,0,2,2
2902,1878,1002,2934,-16,0,2,2
3041,1880,1004,2934,-16,0,2,2
3180,1880,1004,2934,-16,0,2,2
3319,1876,1000,2934,-16,0,2,2
3458,1880,1004,2934,-16,0,2,2
3597,1880,1004,2934,-16,0,2,2
3736,1880,1004,2934,-16,0,2,2
3875,1878,1002,2934,-16,0,2,2
4014,1878,1002,2934,-16,0,2,2
4154,1879,1002,2934,-16,0,2,2
4294,1880,1004,2934,-16,0,2,2
4434,1880,1004,2934,-16,0,2,2
4574,1880,1004,2934,-16,0,2,2
4714,1880,1004,2934,-16,0,2,2
4854,1880,1004,2934,-16,0,2,2
4995,1776,900,2934,-16,0,2,2
