# session=1 label=4 name=overlit ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1325,17,2696,202,0,4,1
225,1325,17,2697,203,0,4,1
355,1321,13,2697,203,0,4,1
485,1321,13,2695,201,0,4,1
615,1322,14,2696,202,0,4,1
746,1325,17,2696,202,0,4,1
876,1325,17,2696,202,0,4,1
1005,1325,17,2696,202,0,4,1
1134,1322,14,2696,202,0,4,1
1264,1325,17,2696,202,0,4,1
1394,1325,17,2697,203,0,4,1
1525,1325,17,2696,202,0,4,1
1655,1321,13,2696,202,0,4,1
1785,1323,15,2696,202,0,4,1
1915,1325,17,2695,201,0,4,1
2045,1325,17,2696,202,0,4,1
2175,1325,17,2695,201,0,4,1
2306,1325,17,2696,202,0,4,1
2436,1325,17,2696,202,0,4,1
2566,1325,17,2696,202,0,4,1
2696,1325,17,2696,202,0,4,1
2826,1325,17,2696,202,0,4,1
2956,1325,17,2696,202,0,4,1
3086,1325,17,2697,203,0,4,1
3216,1323,15,2695,201,0,4,1
3345,1325,17,2695,201,0,4,1
3474,1325,17,2696,202,0,4,1
3603,1325,17,2695,201,0,4,1
3732,1325,17,2695,201,0,4,1
3861,1325,17,2696,202,0,4,1
3990,1325,17,2697,203,0,4,1
4120,1325,17,2695,201,0,4,1
4250,1325,17,2696,202,0,4,1
4380,1325,17,2696,202,0,4,1
4510,1325,17,2696,202,0,4,1
4641,1327,19,2695,201,0,4,1
4772,1325,17,2696,202,0,4,1
4902,1325,17,2695,201,0,4,1
5032,1325,17,2696,202,0,4,1
