# session=2 label=2 name=too_far ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
90,1222,346,2935,-15,0,2,2
215,1363,487,2935,-15,0,2,2
340,1363,487,2935,-15,0,2,2
465,1363,487,2935,-15,0,2,2
589,1229,353,2935,-15,0,2,2
713,1361,485,2935,-15,0,2,2
837,1363,487,2935,-15,0,2,2
962,1361,485,2935,-15,0,2,2
1087,1363,487,2935,-15,0,2,2
1211,1222,346,2935,-15,0,2,2
1335,1220,344,2935,-15,0,2,2
1458,1222,346,2935,-15,0,2,2
1582,1361,485,2935,-15,0,2,2
1706,1362,486,2935,-15,0,2,2
1830,1361,485,2935,-15,0,2,2
1954,1361,485,2935,-15,0,2,2
2078,1361,485,2935,-15,0,2,2
2202,1222,346,2935,-15,0,2,2
2327,1361,485,2935,-15,0,2,2
2451,1230,353,2935,-15,0,2,2
2575,1358,481,2935,-15,0,2,2
2699,1359,483,2935,-15,0,2,2
2822,1229,353,2936,-14,0,2,2
2946,1361,485,2935,-15,0,2,2
3070,1360,484,2935,-15,0,2,2
3194,1361,485,2935,-15,0,2,2
3318,1361,485,2935,-15,0,2,2
3441,1233,357,2935,-15,0,2,2
3565,1361,485,2935,-15,0,2,2
3689,1361,485,2936,-14,0,2,2
3813,1361,485,2935,-15,0,2,2
3937,1361,485,2935,-15,0,2,2
4061,1363,487,2935,-15,0,2,2
4185,1361,485,2936,-14,0,2,2
4309,1363,487,2936,-14,0,2,2
4433,1229,353,2936,-14,0,2,2
4557,1357,481,2936,-14,0,2,2
4682,1363,486,2936,-14,0,2,2
4806,1226,349,2936,-14,0,2,2
4930,1363,487,2935,-15,0,2,2
5054,1361,485,2935,-15,0,2,2
