# session=1 label=1 name=too_close ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,851,-457,2576,82,0,1,1
205,851,-457,2577,83,0,1,1
325,851,-457,2577,83,0,1,1
444,851,-457,2577,83,0,1,1
564,851,-457,2576,82,0,1,1
683,851,-457,2577,83,0,1,1
802,851,-457,2577,83,0,1,1
921,853,-455,2577,83,0,1,1
1041,851,-457,2578,84,0,1,1
1161,851,-457,2576,82,0,1,1
1281,851,-457,2577,83,0,1,1
1401,851,-457,2577,83,0,1,1
1521,851,-457,2578,84,0,1,1
1641,851,-457,2578,84,0,1,1
1761,851,-457,2577,83,0,1,1
1881,851,-457,2577,83,0,1,1
2000,851,-457,2577,83,0,1,1
2119,853,-455,2577,83,0,1,1
2239,851,-457,2577,83,0,1,1
2358,851,-457,2577,83,0,1,1
2478,851,-457,2577,83,0,1,1
2598,851,-457,2576,82,0,1,1
2717,853,-455,2576,82,0,1,1
2837,853,-455,2576,82,0,1,1
2957,853,-455,2577,83,0,1,1
3076,851,-457,2577,83,0,1,1
3195,851,-457,2576,82,0,1,1
3314,851,-457,2577,83,0,1,1
3433,851,-457,2578,84,0,1,1
3552,851,-457,2577,83,0,1,1
3671,851,-457,2577,83,0,1,1
3790,851,-457,2577,83,0,1,1
3909,851,-457,2578,84,0,1,1
4029,853,-455,2577,83,0,1,1
4149,853,-455,2578,84,0,1,1
4269,853,-455,2578,84,0,1,1
4389,853,-455,2578,84,0,1,1
4509,853,-455,2577,83,0,1,1
4629,853,-455,2577,83,0,1,1
4749,851,-457,2577,83,0,1,1
4868,853,-455,2577,83,0,1,1
4988,853,-455,2578,84,0,1,1
