# session=2 label=4 name=overlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,878,2,3223,273,0,4,2
206,878,2,3223,273,0,4,2
326,878,2,3223,273,0,4,2
446,878,2,3224,274,0,4,2
566,878,2,3223,273,0,4,2
685,878,2,3223,273,0,4,2
804,878,2,3223,273,0,4,2
923,878,2,3224,274,0,4,2
1042,878,2,3224,274,0,4,2
1161,878,2,3224,274,0,4,2
1280,878,2,3224,274,0,4,2
1399,878,2,3223,273,0,4,2
1519,878,2,3223,273,0,4,2
1639,878,2,3223,273,0,4,2
1758,878,2,3224,274,0,4,2
1877,878,2,3223,273,0,4,2
1997,878,2,3223,273,0,4,2
2116,878,2,3223,273,0,4,2
2236,878,2,3224,274,0,4,2
2355,878,2,3224,274,0,4,2
2475,878,2,3223,273,0,4,2
2595,878,2,3223,273,0,4,2
2714,878,2,3223,273,0,4,2
2834,878,2,3223,273,0,4,2
2954,878,2,3223,273,0,4,2
3073,878,2,3223,273,0,4,2
3193,878,2,3223,273,0,4,2
3312,878,2,3223,273,0,4,2
3431,878,2,3224,274,0,4,2
3550,878,2,3223,273,0,4,2
3669,878,2,3223,273,0,4,2
3788,878,2,3224,274,0,4,2
3907,878,2,3223,273,0,4,2
4026,878,2,3224,274,0,4,2
4146,878,2,3224,274,0,4,2
4266,878,2,3224,274,0,4,2
4385,878,2,3224,274,0,4,2
4505,878,2,3224,274,0,4,2
4624,878,2,3223,273,0,4,2
4743,878,2,3224,274,0,4,2
4863,878,2,3224,274,0,4,2
4983,878,2,3223,273,0,4,2
